City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,tazovsky,67.4667,78.7,35.62,92,100,15.21,RU,1727976037
157,lompoc,34.6391,-120.4579,87.13,58,20,5.75,US,1727976038
158,bilibino,68.0546,166.4372,16.36,97,99,2.59,RU,1727976039
159,puerto ayacucho,5.6639,-67.6236,93.2,53,12,3.36,VE,1727976040
160,karratha,-20.7377,116.8463,72.5,58,0,12.55,AU,1727976042
161,wailua homesteads,22.0669,-159.378,74.19,89,0,16.11,US,1727976043
162,tamandare,-8.7597,-35.1047,80.08,69,100,11.16,BR,1727976044
163,pontevedra,42.431,-8.6444,72.09,84,100,1.7,ES,1727976045
164,lalibela,12.0333,39.0333,61.47,71,86,8.43,ET,1727976046
165,fort valley,32.5538,-83.8874,83.39,67,75,3.44,US,1727976048
166,uturoa,-16.7333,-151.4333,78.35,80,87,9.46,PF,1727976049
167,casino,-28.8667,153.05,48.76,95,1,3.38,AU,1727976050
168,chernyshevskiy,63.0128,112.4714,30.31,96,99,7.07,RU,1727976051
169,bogande,12.9714,-0.1436,88.14,49,100,9.82,BF,1727976053
170,namibe,-15.1961,12.1522,67.23,85,49,7.4,AO,1727975966
171,gidole,5.65,37.3667,61.05,68,67,3.67,ET,1727976055
172,peniche,39.3558,-9.3811,70.21,99,69,10.45,PT,1727976056
173,kolonia town,6.964,158.206,75.2,94,75,3.44,FM,1727976057
174,port elizabeth,-33.918,25.5701,63.32,88,0,16.11,ZA,1727975986
175,st. john's,47.5649,-52.7093,52.29,87,75,17.27,CA,1727975972
176,hamilton,39.1834,-84.5333,76.24,54,0,8.05,US,1727976061
177,ust'-ilimsk,58.0006,102.6619,31.51,94,97,5.57,RU,1727976062
178,kapa'a,22.0752,-159.319,75.52,86,0,16.11,US,1727976063
179,college,64.8569,-147.8028,24.75,80,20,0.0,US,1727976064
180,puerto san carlos,64.8569,-147.8028,24.75,80,20,0.0,US,1727976064
181,ancud,-41.8697,-73.8203,48.76,68,88,5.06,CL,1727976067
182,bambanglipuro,-7.95,110.2833,77.16,88,81,4.68,ID,1727976068
183,cargados carajos,-7.95,110.2833,77.16,88,81,4.68,ID,1727976068
184,gizo,-8.103,156.8419,80.51,81,99,8.21,SB,1727976070
185,flying fish cove,-10.4217,105.6791,78.48,88,100,11.5,CX,1727976071
186,prokop'yevsk,53.9059,86.719,41.43,59,98,3.18,RU,1727976072
187,tofol,5.3248,163.0078,83.8,64,77,0.72,FM,1727976074
188,khovd,48.0056,91.6419,40.75,90,100,8.79,MN,1727976075
189,aykhal,66.0,111.5,24.51,94,95,4.68,RU,1727976076
190,malayer,34.2969,48.8235,62.64,27,0,5.14,IR,1727975873
191,umm kaddadah,13.6017,26.6876,93.58,23,76,6.53,SD,1727976078
192,ovruch,51.3246,28.8035,58.28,67,100,4.7,UA,1727976079
193,dire,12.2833,-10.9667,83.32,83,88,2.08,ML,1727976081
194,el granada,37.5027,-122.4694,81.86,60,0,3.44,US,1727976082
195,kasane,-17.8167,25.15,77.09,44,0,18.41,BW,1727976083
196,kirakira,-10.4544,161.9205,78.13,85,100,6.82,SB,1727976084
197,deqing,30.5448,119.9599,55.04,82,0,2.21,CN,1727976085
198,invercargill,-46.4,168.35,46.02,98,100,5.99,NZ,1727976086
199,muntok,-2.0667,105.1833,79.88,84,9,7.45,ID,1727976088
200,tralee,52.2704,-9.7026,61.05,77,40,13.8,IE,1727976089
201,tsubata,36.6667,136.7333,67.21,97,96,2.8,JP,1727976090
202,nyrob,60.733,56.7202,41.2,75,100,7.05,RU,1727976091
203,stornoway,58.2093,-6.3865,54.09,75,20,13.8,GB,1727976092
204,jiexiu,37.0244,111.9125,54.28,47,1,4.41,CN,1727976093
205,yashkul',46.1711,45.3435,63.45,34,92,9.08,RU,1727976095
206,bodaybo,57.8506,114.1933,32.94,84,83,4.7,RU,1727976096
207,tuy hoa,13.0833,109.3,76.84,92,97,5.26,VN,1727976097
208,langepas,61.2544,75.2124,38.01,78,95,7.07,RU,1727976098
